"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Vergessen Sie nicht, die Zahlungsreferenz in Ihrer Bezahlung zu verwenden. Ohne die Referenz kann die Verarbeitung Ihrer Bezahlung mehr Zeit nehmen!"
"Account holder: %1","Kontoinhaber: %1"
"Account number: %1","Kontonummer: %1"
"Amount: %1","Betrag: %1"
"Amounts don't match. Possible fraud","Beträge stimmen nicht überein. Möglicher Betrug"
"API Details","API Details"
"API Key","API  Schlüssel"
"Bancontact","Bancontact"
"Banktransfer","Banküberweisung"
"BIC: %1","BIC: %1"
"Branding","Markenbildung"
"Bundle CA.cert file","cURL ca.cert bündel benutzen"
"Cash On Delivery","Nachnahme"
"Choose your bank:","Wählen Sie Ihre Bank:"
"City: %1","Wohnort: %1"
"Configure the Banktransfer payment settings.","Konfigurieren Sie die Banküberweisung Zahlungseinstellungen."
"Configure the Cash On Delivery payment settings.","Konfigurieren Sie die Nachnahme Zahlungseinstellungen."
"Configure the iDeal payment settings.","Konfigurieren Sie die iDeal Zahlungseinstellungen."
"Configure the Payconiq payment settings.","Konfigurieren Sie die Payconiq Zahlungseinstellungen."
"Configure the HomePay payment settings.","Konfigurieren Sie die HomePay Zahlungseinstellungen."
"Credit Card","Kreditkarten"
"Debug requests","Debug-Anfragen"
"Debug","Debug"
"Description","Beschreibung"
"Enabled","Aktiviert"
"Especially for Developers you can enable the Debug mode.","Insbesondere für Entwickler können Sie den Debug-Modus aktivieren."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Sie können spezifische IP-Adressen angeben, für die sichtbar ist, zB wenn Sie testen möchten, können Sie IP-Adressen als 128.0.0.1, 255.255.255.255 eingeben. Wenn Sie nichts ausfüllen, dann ist Klarna für alle IP-Adressen sichtbar."
"Fill in your API Key below.","Verwenden Sie Ihren API-Schlüssel"
"General","Allgemeines"
"Generate invoice upon succesfull transaction","Rechnung generieren bei einer erfolgreichen Transaktion"
"Generate invoice upon successful transaction","Generieren Sie eine Rechnung für jede erfolgreiche Transaktion"
"Generate Invoice","Rechnung generieren"
"IBAN: %1","IBAN: %1"
"iDeal","iDeal"
"Include Webhook URL with every order creation","Füge eine Webhook URL zu jeder Bestellung."
"EMS Order ID: %1","EMS Bestell-ID: %1"
"EMS processes the payments for","EMS verarbeitet die Zahlungen für"
"EMS PSP - Banktransfer","EMS PSP - Banküberweisung"
"EMS PSP - Cashondelivery","EMS PSP - Nachnahme"
"EMS PSP - iDEAL","EMS PSP - iDEAL"
"EMS PSP - Mastercard, VISA, Maestro of V PAY","EMS PSP - Mastercard, VISA, Maestro oder V PAY"
"EMS PSP - Settings","EMS PSP - Einstellungen"
"EMS PSP","EMS PSP"
"Invalid return from EMS.","Ungültiger Status von der EMS-API"
"Invalid return, missing order id.","Ungültiger Rückgabewert, Bestell-ID fehlt."
"IP Filtering","IP-Adresse(n) für Prüfung"
"Limit & Sorting","Limit und Sortierung"
"Live","Live"
"Minimum Order Total","Mindestwert Gesamtbestellung"
"New order email sent","E-Mail mit neuer Bestellung gesendet"
"No order found for transaction id %1","Keine Bestellung für die Transaktions-ID %1 gefunden"
"Notified customer about invoice #%1","Benachrichtigen Kunden über Rechnung #%1"
"Order not found","Bestellung nicht gefunden"
"OrderId not set","Bestell-Id nicht eingestellt"
"Payment Description","Zahlungsbeschreibung"
"Payment failed with an error","Fehler bei der Verarbeitung Bezahlung"
"Payment from Applicable Countries","Zahlung aus geltenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment instructions:","Zahlungsanweisungen:"
"Payment is cancelled","Bezahlung ist annulliert"
